seq,handle,status,api_address,module,document,interface_group,action,node_name,full_path,source_file
011,d792738,OK,U8API/APVouch/SaveVouch,应付款管理源管理器,应付单源管理器,服务接口源管理器,新增或修改,新增或修改源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/应付单源管理器/服务接口源管理器/新增或修改源管理器,parts/011_d792738_新增或修改源管理器.txt
012,d792c18,OK,U8API/APVouch/GetVouchData,应付款管理源管理器,应付单源管理器,服务接口源管理器,装载单据,装载单据源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/应付单源管理器/服务接口源管理器/装载单据源管理器,parts/012_d792c18_装载单据源管理器.txt
013,d792b58,OK,U8API/APVouch/DeleteVouch,应付款管理源管理器,应付单源管理器,服务接口源管理器,删除单据,删除单据源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/应付单源管理器/服务接口源管理器/删除单据源管理器,parts/013_d792b58_删除单据源管理器.txt
014,d793008,OK,U8API/APVouch/Sign,应付款管理源管理器,应付单源管理器,服务接口源管理器,审核单据,审核单据源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/应付单源管理器/服务接口源管理器/审核单据源管理器,parts/014_d793008_审核单据源管理器.txt
015,d792c78,OK,U8API/APVouch/CancelSign,应付款管理源管理器,应付单源管理器,服务接口源管理器,弃审单据,弃审单据源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/应付单源管理器/服务接口源管理器/弃审单据源管理器,parts/015_d792c78_弃审单据源管理器.txt
016,d5f6750,OK,U8API/PUInvoice/Sign,应付款管理源管理器,采购发票源管理器,服务接口源管理器,审核单据,审核单据源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/采购发票源管理器/服务接口源管理器/审核单据源管理器,parts/016_d5f6750_审核单据源管理器.txt
017,12b67a8,OK,U8API/PUInvoice/CancelSign,应付款管理源管理器,采购发票源管理器,服务接口源管理器,弃审单据,弃审单据源管理器,U8API资源管理器/U8API源管理器/应付款管理源管理器/采购发票源管理器/服务接口源管理器/弃审单据源管理器,parts/017_12b67a8_弃审单据源管理器.txt
018,12988d0,OK,U8API/ARClose/SaveVouch,应收款管理源管理器,收款单理源管理器,服务接口核日志,新增或修改,新增或修改核日志,U8API资源管理器/U8API源管理器/应收款管理源管理器/收款单理源管理器/服务接口核日志/新增或修改核日志,parts/018_12988d0_新增或修改核日志.txt
019,12987e0,OK,U8API/ARClose/GetVouchData,应收款管理源管理器,收款单理源管理器,服务接口核日志,装载单据,装载单据核日志,U8API资源管理器/U8API源管理器/应收款管理源管理器/收款单理源管理器/服务接口核日志/装载单据核日志,parts/019_12987e0_装载单据核日志.txt
020,1298930,OK,U8API/ARClose/DeleteVouch,应收款管理源管理器,收款单理源管理器,服务接口核日志,删除单据,删除单据核日志,U8API资源管理器/U8API源管理器/应收款管理源管理器/收款单理源管理器/服务接口核日志/删除单据核日志,parts/020_1298930_删除单据核日志.txt
021,1298510,OK,U8API/ARClose/Sign,应收款管理源管理器,收款单理源管理器,服务接口核日志,审核单据,审核单据核日志,U8API资源管理器/U8API源管理器/应收款管理源管理器/收款单理源管理器/服务接口核日志/审核单据核日志,parts/021_1298510_审核单据核日志.txt
022,1298570,OK,U8API/ARClose/CancelSign,应收款管理源管理器,收款单理源管理器,服务接口核日志,弃审单据,弃审单据核日志,U8API资源管理器/U8API源管理器/应收款管理源管理器/收款单理源管理器/服务接口核日志/弃审单据核日志,parts/022_1298570_弃审单据核日志.txt
023,1298a80,OK,U8API/ARVouch/SaveVouch,应收款管理源管理器,应收单核日志,服务接口核日志,新增或修改,新增或修改核日志,U8API资源管理器/U8API源管理器/应收款管理源管理器/应收单核日志/服务接口核日志/新增或修改核日志,parts/023_1298a80_新增或修改核日志.txt
024,1298b10,OK,U8API/ARVouch/GetVouchData,应收款管理源管理器,应收单核日志,服务接口核日志,装载单据,装载单据核日志,U8API资源管理器/U8API源管理器/应收款管理源管理器/应收单核日志/服务接口核日志/装载单据核日志,parts/024_1298b10_装载单据核日志.txt
025,1298b40,OK,U8API/ARVouch/DeleteVouch,应收款管理源管理器,应收单核日志,服务接口核日志,删除单据,删除单据核日志,U8API资源管理器/U8API源管理器/应收款管理源管理器/应收单核日志/服务接口核日志/删除单据核日志,parts/025_1298b40_删除单据核日志.txt
026,1298b70,OK,U8API/ARVouch/Sign,应收款管理源管理器,应收单核日志,服务接口核日志,审核单据,审核单据核日志,U8API资源管理器/U8API源管理器/应收款管理源管理器/应收单核日志/服务接口核日志/审核单据核日志,parts/026_1298b70_审核单据核日志.txt
027,1299080,OK,U8API/ARVouch/CancelSign,应收款管理源管理器,应收单核日志,服务接口核日志,弃审单据,弃审单据核日志,U8API资源管理器/U8API源管理器/应收款管理源管理器/应收单核日志/服务接口核日志/弃审单据核日志,parts/027_1299080_弃审单据核日志.txt
028,12998f0,OK,U8API/SAInvoice/Sign,应收款管理源管理器,销售发票核日志,服务接口核日志,审核单据,审核单据核日志,U8API资源管理器/U8API源管理器/应收款管理源管理器/销售发票核日志/服务接口核日志/审核单据核日志,parts/028_12998f0_审核单据核日志.txt
029,1299980,OK,U8API/SAInvoice/CancelSign,应收款管理源管理器,销售发票核日志,服务接口核日志,弃审单据,弃审单据核日志,U8API资源管理器/U8API源管理器/应收款管理源管理器/销售发票核日志/服务接口核日志/弃审单据核日志,parts/029_1299980_弃审单据核日志.txt
030,1299b30,OK,U8API/CM/DeleteVouch,合同管理核日志,服务接口核日志,删除单据核日志,删除单据,删除单据核日志,U8API资源管理器/U8API源管理器/合同管理核日志/服务接口核日志/删除单据核日志,parts/030_1299b30_删除单据核日志.txt
031,1299a10,OK,U8API/CM/QueryVouch,合同管理核日志,服务接口核日志,查询单据核日志,查询单据,查询单据核日志,U8API资源管理器/U8API源管理器/合同管理核日志/服务接口核日志/查询单据核日志,parts/031_1299a10_查询单据核日志.txt
032,1299770,OK,U8API/CM/SaveVouch,合同管理核日志,服务接口核日志,新增或修改核日志,新增或修改,新增或修改核日志,U8API资源管理器/U8API源管理器/合同管理核日志/服务接口核日志/新增或修改核日志,parts/032_1299770_新增或修改核日志.txt
033,1299710,OK,U8API/EB/EBItem_Add,电商订单中心日志,服务接口事件志,店铺商品新增志,店铺商品新增,店铺商品新增志,U8API资源管理器/U8API源管理器/电商订单中心日志/服务接口事件志/店铺商品新增志,parts/033_1299710_店铺商品新增志.txt
034,1299740,OK,U8API/EB/EBTrade_Add,电商订单中心日志,服务接口事件志,电商订单新增志,电商订单新增志,电商订单新增志,U8API资源管理器/U8API源管理器/电商订单中心日志/服务接口事件志/电商订单新增志,parts/034_1299740_电商订单新增志.txt
035,d7d4368,OK,U8API/omOrder/VoucherOperate,委外管理发票,委外订单发票,服务接口存事件,统一接口存事件,统一接口存事件,U8API资源管理器/U8API源管理器/委外管理发票/委外订单发票/服务接口存事件/统一接口存事件,parts/035_d7d4368_统一接口存事件.txt
036,d7d4e78,OK,U8API/ArrivedGoods/CancelconfirmArr,采购管理存事件,采购到货单(退货单),服务接口保存事件err,弃审采购到货单,弃审采购到货单件err,U8API资源管理器/U8API源管理器/采购管理存事件/采购到货单(退货单)/服务接口保存事件err/弃审采购到货单件err,parts/036_d7d4e78_弃审采购到货单件err.txt
037,d7d50e8,OK,U8API/ArrivedGoods/ConfirmArr,采购管理存事件,采购到货单(退货单),服务接口保存事件err,审核采购到货单,审核采购到货单件err,U8API资源管理器/U8API源管理器/采购管理存事件/采购到货单(退货单)/服务接口保存事件err/审核采购到货单件err,parts/037_d7d50e8_审核采购到货单件err.txt
038,d7d4ea8,OK,U8API/ArrivedGoods/Delete,采购管理存事件,采购到货单(退货单),服务接口保存事件err,删除单据,删除单据货单件err,U8API资源管理器/U8API源管理器/采购管理存事件/采购到货单(退货单)/服务接口保存事件err/删除单据货单件err,parts/038_d7d4ea8_删除单据货单件err.txt
039,d7d5148,OK,U8API/ArrivedGoods/GetVoucherData,采购管理存事件,采购到货单(退货单),服务接口保存事件err,装载单据,装载单据货单件err,U8API资源管理器/U8API源管理器/采购管理存事件/采购到货单(退货单)/服务接口保存事件err/装载单据货单件err,parts/039_d7d5148_装载单据货单件err.txt
040,d7d4f98,OK,U8API/ArrivedGoods/VoucherSave,采购管理存事件,采购到货单(退货单),服务接口保存事件err,新增或修改,新增或修改单件err,U8API资源管理器/U8API源管理器/采购管理存事件/采购到货单(退货单)/服务接口保存事件err/新增或修改单件err,parts/040_d7d4f98_新增或修改单件err.txt
041,d7d4e48,OK,U8API/ppurbill/Delete,采购管理存事件,采购普通发票件err,服务接口件err,删除单据,删除单据件err,U8API资源管理器/U8API源管理器/采购管理存事件/采购普通发票件err/服务接口件err/删除单据件err,parts/041_d7d4e48_删除单据件err.txt
042,d7d4cf8,OK,U8API/ppurbill/GetVoucherData,采购管理存事件,采购普通发票件err,服务接口件err,装载单据,装载单据件err,U8API资源管理器/U8API源管理器/采购管理存事件/采购普通发票件err/服务接口件err/装载单据件err,parts/042_d7d4cf8_装载单据件err.txt
043,d7d4f08,OK,U8API/ppurbill/VoucherSave,采购管理存事件,采购普通发票件err,服务接口件err,新增或修改,新增或修改件err,U8API资源管理器/U8API源管理器/采购管理存事件/采购普通发票件err/服务接口件err/新增或修改件err,parts/043_d7d4f08_新增或修改件err.txt
044,d7d5808,OK,U8API/PurBill/Delete,采购管理存事件,采购专用发票件err,服务接口件err,删除单据,删除单据件err,U8API资源管理器/U8API源管理器/采购管理存事件/采购专用发票件err/服务接口件err/删除单据件err,parts/044_d7d5808_删除单据件err.txt
045,d7d5658,OK,U8API/PurBill/GetVoucherData,采购管理存事件,采购专用发票件err,服务接口件err,装载单据,装载单据件err,U8API资源管理器/U8API源管理器/采购管理存事件/采购专用发票件err/服务接口件err/装载单据件err,parts/045_d7d5658_装载单据件err.txt
046,d7d5268,OK,U8API/PurBill/VoucherSave,采购管理存事件,采购专用发票件err,服务接口件err,新增或修改,新增或修改件err,U8API资源管理器/U8API源管理器/采购管理存事件/采购专用发票件err/服务接口件err/新增或修改件err,parts/046_d7d5268_新增或修改件err.txt
047,d7d6018,OK,U8API/PurchaseOrder/CancelconfirmPo,采购管理存事件,采购订单件err,服务接口存事件fterr,弃审订单,弃审订单存事件fterr,U8API资源管理器/U8API源管理器/采购管理存事件/采购订单件err/服务接口存事件fterr/弃审订单存事件fterr,parts/047_d7d6018_弃审订单存事件fterr.txt
048,d7d6198,OK,U8API/PurchaseOrder/ConfirmPO,采购管理存事件,采购订单件err,服务接口存事件fterr,审核订单,审核订单存事件fterr,U8API资源管理器/U8API源管理器/采购管理存事件/采购订单件err/服务接口存事件fterr/审核订单存事件fterr,parts/048_d7d6198_审核订单存事件fterr.txt
049,d7d5e98,OK,U8API/PurchaseOrder/Delete,采购管理存事件,采购订单件err,服务接口存事件fterr,删除单据,删除单据存事件fterr,U8API资源管理器/U8API源管理器/采购管理存事件/采购订单件err/服务接口存事件fterr/删除单据存事件fterr,parts/049_d7d5e98_删除单据存事件fterr.txt
050,d7d6078,OK,U8API/PurchaseOrder/GetVoucherData,采购管理存事件,采购订单件err,服务接口存事件fterr,装载单据,装载单据存事件fterr,U8API资源管理器/U8API源管理器/采购管理存事件/采购订单件err/服务接口存事件fterr/装载单据存事件fterr,parts/050_d7d6078_装载单据存事件fterr.txt
051,d7d61c8,OK,U8API/PurchaseOrder/VoucherSave,采购管理存事件,采购订单件err,服务接口存事件fterr,新增或修改,新增或修改事件fterr,U8API资源管理器/U8API源管理器/采购管理存事件/采购订单件err/服务接口存事件fterr/新增或修改事件fterr,parts/051_d7d61c8_新增或修改事件fterr.txt
052,d7d69a8,OK,U8API/PurchaseRequisition/CancelconfirmApp,采购管理存事件,请购单改事件fterr,服务接口事件事件err,弃审请购单,弃审请购单件事件err,U8API资源管理器/U8API源管理器/采购管理存事件/请购单改事件fterr/服务接口事件事件err/弃审请购单件事件err,parts/052_d7d69a8_弃审请购单件事件err.txt
053,d7d6618,OK,U8API/PurchaseRequisition/ConfirmApp,采购管理存事件,请购单改事件fterr,服务接口事件事件err,审核请购单,审核请购单件事件err,U8API资源管理器/U8API源管理器/采购管理存事件/请购单改事件fterr/服务接口事件事件err/审核请购单件事件err,parts/053_d7d6618_审核请购单件事件err.txt
054,d7d64f8,OK,U8API/PurchaseRequisition/Delete,采购管理存事件,请购单改事件fterr,服务接口事件事件err,删除单据,删除单据件事件err,U8API资源管理器/U8API源管理器/采购管理存事件/请购单改事件fterr/服务接口事件事件err/删除单据件事件err,parts/054_d7d64f8_删除单据件事件err.txt
055,d7d68b8,OK,U8API/PurchaseRequisition/GetVoucherData,采购管理存事件,请购单改事件fterr,服务接口事件事件err,装载单据,装载单据件事件err,U8API资源管理器/U8API源管理器/采购管理存事件/请购单改事件fterr/服务接口事件事件err/装载单据件事件err,parts/055_d7d68b8_装载单据件事件err.txt
056,d7d6678,OK,U8API/PurchaseRequisition/VoucherSave,采购管理存事件,请购单改事件fterr,服务接口事件事件err,新增或修改,新增或修改件事件err,U8API资源管理器/U8API源管理器/采购管理存事件/请购单改事件fterr/服务接口事件事件err/新增或修改件事件err,parts/056_d7d6678_新增或修改件事件err.txt
057,d7d6ac8,OK,U8API/VenInvPrice/ConfirmVenInvPrice,采购管理存事件,供应商存货调价单件err,服务接口价单件err,审核供应商存货调价单,审核供应商存货调价单err,U8API资源管理器/U8API源管理器/采购管理存事件/供应商存货调价单件err/服务接口价单件err/审核供应商存货调价单err,parts/057_d7d6ac8_审核供应商存货调价单err.txt
058,d7d32e8,OK,U8API/ypurbill/Delete,采购管理存事件,采购运费发票调价单err,服务接口调价单err,删除单据,删除单据调价单err,U8API资源管理器/U8API源管理器/采购管理存事件/采购运费发票调价单err/服务接口调价单err/删除单据调价单err,parts/058_d7d32e8_删除单据调价单err.txt
059,d7d3288,OK,U8API/ypurbill/GetVoucherData,采购管理存事件,采购运费发票调价单err,服务接口调价单err,装载单据,装载单据调价单err,U8API资源管理器/U8API源管理器/采购管理存事件/采购运费发票调价单err/服务接口调价单err/装载单据调价单err,parts/059_d7d3288_装载单据调价单err.txt
060,d7d3318,OK,U8API/ypurbill/VoucherSave,采购管理存事件,采购运费发票调价单err,服务接口调价单err,新增或修改,新增或修改调价单err,U8API资源管理器/U8API源管理器/采购管理存事件/采购运费发票调价单err/服务接口调价单err/新增或修改调价单err,parts/060_d7d3318_新增或修改调价单err.txt
061,d7d2f28,OK,U8API/PU/VoucherSave2,采购管理存事件,服务接口调价单err,采购单据保存(外部事务)r,采购单据保存(外部事务),采购单据保存(外部事务)r,U8API资源管理器/U8API源管理器/采购管理存事件/服务接口调价单err/采购单据保存(外部事务)r,parts/061_d7d2f28_采购单据保存(外部事务)r.txt
062,d7d3738,OK,U8API/ArrCheck/VoucherOperate,质量管理存(外部事务)r,来料检验单(外部事务)r,服务接口(外部事务)r,统一接口(外部事务)r,统一接口(外部事务)r,U8API资源管理器/U8API源管理器/质量管理存(外部事务)r/来料检验单(外部事务)r/服务接口(外部事务)r/统一接口(外部事务)r,parts/062_d7d3738_统一接口(外部事务)r.txt
063,d7d3bb8,OK,U8API/ArrInspect/VoucherOperate,质量管理存(外部事务)r,来料报检单(外部事务)r,服务接口(外部事务)r,统一接口(外部事务)r,统一接口(外部事务)r,U8API资源管理器/U8API源管理器/质量管理存(外部事务)r/来料报检单(外部事务)r/服务接口(外部事务)r/统一接口(外部事务)r,parts/063_d7d3bb8_统一接口(外部事务)r.txt
064,d7d7980,OK,U8API/PerCheck/VoucherOperate,质量管理存(外部事务)r,在库检验单单事务)r,服务接口单事务)r,统一接口单事务)r,统一接口单事务)r,U8API资源管理器/U8API源管理器/质量管理存(外部事务)r/在库检验单单事务)r/服务接口单事务)r/统一接口单事务)r,parts/064_d7d7980_统一接口单事务)r.txt
065,d7d7f20,OK,U8API/PerInspect/VoucherOperate,质量管理存(外部事务)r,在库报检单单事务)r,服务接口单事务)r,统一接口单事务)r,统一接口单事务)r,U8API资源管理器/U8API源管理器/质量管理存(外部事务)r/在库报检单单事务)r/服务接口单事务)r/统一接口单事务)r,parts/065_d7d7f20_统一接口单事务)r.txt
066,d7d8910,OK,U8API/ProCheck/VoucherOperate,质量管理存(外部事务)r,产品检验理单事务)r,服务接口理单事务)r,统一接口理单事务)r,统一接口理单事务)r,U8API资源管理器/U8API源管理器/质量管理存(外部事务)r/产品检验理单事务)r/服务接口理单事务)r/统一接口理单事务)r,parts/066_d7d8910_统一接口理单事务)r.txt
067,d7d9060,OK,U8API/ProInspect/VoucherOperate,质量管理存(外部事务)r,产品报检理单事务)r,服务接口理单事务)r,统一接口理单事务)r,统一接口理单事务)r,U8API资源管理器/U8API源管理器/质量管理存(外部事务)r/产品报检理单事务)r/服务接口理单事务)r/统一接口理单事务)r,parts/067_d7d9060_统一接口理单事务)r.txt
068,d7d9420,OK,U8API/Consignment/Audit,销售管理理单事务)r,销售发货单理单事务)r,服务接口事件存日志r,审核或弃审,审核或弃审件存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/销售发货单理单事务)r/服务接口事件存日志r/审核或弃审件存日志r,parts/068_d7d9420_审核或弃审件存日志r.txt
069,d7d9600,OK,U8API/Consignment/Delete,销售管理理单事务)r,销售发货单理单事务)r,服务接口事件存日志r,删除单据,删除单据件存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/销售发货单理单事务)r/服务接口事件存日志r/删除单据件存日志r,parts/069_d7d9600_删除单据件存日志r.txt
070,d7d9480,OK,U8API/Consignment/Load,销售管理理单事务)r,销售发货单理单事务)r,服务接口事件存日志r,装载单据,装载单据件存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/销售发货单理单事务)r/服务接口事件存日志r/装载单据件存日志r,parts/070_d7d9480_装载单据件存日志r.txt
071,d7d9510,OK,U8API/Consignment/Save,销售管理理单事务)r,销售发货单理单事务)r,服务接口事件存日志r,新增或修改,新增或修改件存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/销售发货单理单事务)r/服务接口事件存日志r/新增或修改件存日志r,parts/071_d7d9510_新增或修改件存日志r.txt
072,d7d9a50,OK,U8API/ConsignmentSignIn/Audit,销售管理理单事务)r,销售签回单件存日志r,服务接口件存日志r,审核,审核口件存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/销售签回单件存日志r/服务接口件存日志r/审核口件存日志r,parts/072_d7d9a50_审核口件存日志r.txt
073,d7d9990,OK,U8API/ConsignmentSignIn/Load,销售管理理单事务)r,销售签回单件存日志r,服务接口件存日志r,装载单据,装载单据件存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/销售签回单件存日志r/服务接口件存日志r/装载单据件存日志r,parts/073_d7d9990_装载单据件存日志r.txt
074,d7d9e10,OK,U8API/ConsignmentSignIn/Save,销售管理理单事务)r,销售签回单件存日志r,服务接口件存日志r,新增或修改,新增或修改件存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/销售签回单件存日志r/服务接口件存日志r/新增或修改件存日志r,parts/074_d7d9e10_新增或修改件存日志r.txt
075,d7da3b0,OK,U8API/DelegateConsignment/Audit,销售管理理单事务)r,委托代销发货单存日志r,服务接口单存日志r,审核或弃审,审核或弃审单存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/委托代销发货单存日志r/服务接口单存日志r/审核或弃审单存日志r,parts/075_d7da3b0_审核或弃审单存日志r.txt
076,d7da3e0,OK,U8API/DelegateConsignment/Delete,销售管理理单事务)r,委托代销发货单存日志r,服务接口单存日志r,删除单据,删除单据单存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/委托代销发货单存日志r/服务接口单存日志r/删除单据单存日志r,parts/076_d7da3e0_删除单据单存日志r.txt
077,d7d9f60,OK,U8API/DelegateConsignment/Load,销售管理理单事务)r,委托代销发货单存日志r,服务接口单存日志r,装载单据,装载单据单存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/委托代销发货单存日志r/服务接口单存日志r/装载单据单存日志r,parts/077_d7d9f60_装载单据单存日志r.txt
078,d7d9fc0,OK,U8API/DelegateConsignment/Save,销售管理理单事务)r,委托代销发货单存日志r,服务接口单存日志r,新增或修改,新增或修改单存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/委托代销发货单存日志r/服务接口单存日志r/新增或修改单存日志r,parts/078_d7d9fc0_新增或修改单存日志r.txt
079,d7da7d0,OK,U8API/DelegateReturnOrder/Audit,销售管理理单事务)r,委托代销退货单存日志r,服务接口单存日志r,审核或弃审,审核或弃审单存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/委托代销退货单存日志r/服务接口单存日志r/审核或弃审单存日志r,parts/079_d7da7d0_审核或弃审单存日志r.txt
080,d7da770,OK,U8API/DelegateReturnOrder/Delete,销售管理理单事务)r,委托代销退货单存日志r,服务接口单存日志r,删除单据,删除单据单存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/委托代销退货单存日志r/服务接口单存日志r/删除单据单存日志r,parts/080_d7da770_删除单据单存日志r.txt
081,d7da7a0,OK,U8API/DelegateReturnOrder/Load,销售管理理单事务)r,委托代销退货单存日志r,服务接口单存日志r,装载单据,装载单据单存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/委托代销退货单存日志r/服务接口单存日志r/装载单据单存日志r,parts/081_d7da7a0_装载单据单存日志r.txt
082,d7da800,OK,U8API/DelegateReturnOrder/Save,销售管理理单事务)r,委托代销退货单存日志r,服务接口单存日志r,新增或修改,新增或修改单存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/委托代销退货单存日志r/服务接口单存日志r/新增或修改单存日志r,parts/082_d7da800_新增或修改单存日志r.txt
083,d7db040,OK,U8API/NormalInvoice/Audit,销售管理理单事务)r,普通发票单存日志r,服务接口单存日志r,审核或弃审,审核或弃审单存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/普通发票单存日志r/服务接口单存日志r/审核或弃审单存日志r,parts/083_d7db040_审核或弃审单存日志r.txt
084,d7db5e0,OK,U8API/NormalInvoice/Delete,销售管理理单事务)r,普通发票单存日志r,服务接口单存日志r,删除单据,删除单据单存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/普通发票单存日志r/服务接口单存日志r/删除单据单存日志r,parts/084_d7db5e0_删除单据单存日志r.txt
085,d7db520,OK,U8API/NormalInvoice/Load,销售管理理单事务)r,普通发票单存日志r,服务接口单存日志r,装载单据,装载单据单存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/普通发票单存日志r/服务接口单存日志r/装载单据单存日志r,parts/085_d7db520_装载单据单存日志r.txt
086,d7db550,OK,U8API/NormalInvoice/Save,销售管理理单事务)r,普通发票单存日志r,服务接口单存日志r,新增或修改,新增或修改单存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/普通发票单存日志r/服务接口单存日志r/新增或修改单存日志r,parts/086_d7db550_新增或修改单存日志r.txt
087,d7db0a0,OK,U8API/RedNormalInvoice/Audit,销售管理理单事务)r,红字普通发票存日志r,服务接口存日志r,审核或弃审,审核或弃审存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/红字普通发票存日志r/服务接口存日志r/审核或弃审存日志r,parts/087_d7db0a0_审核或弃审存日志r.txt
088,d7db0d0,OK,U8API/RedNormalInvoice/Delete,销售管理理单事务)r,红字普通发票存日志r,服务接口存日志r,删除单据,删除单据存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/红字普通发票存日志r/服务接口存日志r/删除单据存日志r,parts/088_d7db0d0_删除单据存日志r.txt
089,d7db130,OK,U8API/RedNormalInvoice/Load,销售管理理单事务)r,红字普通发票存日志r,服务接口存日志r,装载单据,装载单据存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/红字普通发票存日志r/服务接口存日志r/装载单据存日志r,parts/089_d7db130_装载单据存日志r.txt
090,d7db310,OK,U8API/RedNormalInvoice/Save,销售管理理单事务)r,红字普通发票存日志r,服务接口存日志r,新增或修改,新增或修改存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/红字普通发票存日志r/服务接口存日志r/新增或修改存日志r,parts/090_d7db310_新增或修改存日志r.txt
091,d7dbbe0,OK,U8API/RedRetaildailyreport/Audit,销售管理理单事务)r,红字零售日报存日志r,服务接口存日志r,审核或弃审,审核或弃审存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/红字零售日报存日志r/服务接口存日志r/审核或弃审存日志r,parts/091_d7dbbe0_审核或弃审存日志r.txt
092,d7dbc10,OK,U8API/RedRetaildailyreport/Delete,销售管理理单事务)r,红字零售日报存日志r,服务接口存日志r,删除单据,删除单据存日志r,U8API资源管理器/U8API源管理器/销售管理理单事务)r/红字零售日报存日志r/服务接口存日志r/删除单据存日志r,parts/092_d7dbc10_删除单据存日志r.txt
